uid,station_name,time_iso,aqi,pm25,pm10,o3,no2,so2,co,temp,humidity,wind,pressure,ingested_at_utc,time
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-25 21:00:00,59,59,21,5.2,,1.6,0.1,29.7,8.6,2.5,1002.7,2025-08-25T18:39:30Z,2025-08-26 04:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-25 21:00:00,21,21,19,13.4,9.3,0.6,0.1,29.7,8.7,2.0,1003.4,2025-08-25T18:39:31Z,2025-08-26 04:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 20:00:00,52,52,67,0.4,,,,30.0,8.3,2.0,1004.4,2025-08-25T18:39:31Z,2025-08-26 03:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-07-06 13:00:00,56,56,45,4.8,12.7,,0.1,32.0,69.4,3.0,1006.0,2025-08-25T18:39:32Z,2025-07-06 20:00:00+07:00
5773,Bangkok,2025-08-26 01:00:00,42,42,19,4.4,1.2,0.6,0.1,28.2,74.3,1.5,1004.8,2025-08-25T19:22:43Z,2025-08-26 08:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 01:00:00,59,59,27,4.0,,1.6,0.1,28.5,77.6,2.5,1004.3,2025-08-25T19:22:44Z,2025-08-26 08:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 01:00:00,35,35,12,13.4,9.3,0.6,0.1,28.3,69.6,1.0,1005.3,2025-08-25T19:22:44Z,2025-08-26 08:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 20:00:00,52,52,67,0.4,,,,30.0,8.3,2.0,1004.4,2025-08-25T19:22:45Z,2025-08-26 03:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 01:00:00,44,44,45,4.8,12.7,,0.1,28.2,74.3,1.5,1004.8,2025-08-25T19:22:46Z,2025-08-26 08:00:00+07:00
5773,Bangkok,2025-08-26 02:00:00,39,39,13,3.6,1.2,0.6,0.1,28.5,96.4,0.5,1005.2,2025-08-25T20:30:04Z,2025-08-26 09:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 02:00:00,69,69,23,4.8,,1.6,0.1,27.5,9.4,2.5,1003.7,2025-08-25T20:30:05Z,2025-08-26 09:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 02:00:00,23,23,12,13.4,9.3,0.6,0.1,28.2,9.6,1.0,1004.2,2025-08-25T20:30:06Z,2025-08-26 09:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 20:00:00,52,52,67,0.4,,,,30.0,8.3,2.0,1004.4,2025-08-25T20:30:06Z,2025-08-26 03:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 02:00:00,46,46,45,4.8,12.7,,0.1,28.5,9.2,0.5,1005.2,2025-08-25T20:30:07Z,2025-08-26 09:00:00+07:00
5773,Bangkok,2025-08-26 03:00:00,48,48,15,3.6,1.2,0.6,0.1,28.3,9.8,1,1005.0,2025-08-25T21:26:10Z,2025-08-26 10:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 03:00:00,55,55,28,5.2,,1.6,0.1,27.3,9.5,1,1003.5,2025-08-25T21:26:10Z,2025-08-26 10:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 03:00:00,59,59,28,13.4,9.3,0.6,0.1,28.1,9.8,2,1004.0,2025-08-25T21:26:11Z,2025-08-26 10:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 20:00:00,52,52,67,0.4,,,,30.0,8.3,2,1004.4,2025-08-25T21:26:12Z,2025-08-26 03:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 03:00:00,38,38,45,4.8,12.7,,0.1,28.3,9.2,1,1005.0,2025-08-25T21:26:13Z,2025-08-26 10:00:00+07:00
5773,Bangkok,2025-08-26 04:00:00,57,57,23,3.6,1.2,0.6,0.1,28.0,98.2,2.5,1004.6,2025-08-25T22:28:37Z,2025-08-26 11:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 04:00:00,50,50,20,5.2,,1.6,0.1,27.0,84.2,1.5,1003.4,2025-08-25T22:28:38Z,2025-08-26 11:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 04:00:00,61,61,29,10.3,8.1,0.6,0.1,28.0,70.4,1.5,1004.6,2025-08-25T22:28:39Z,2025-08-26 11:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 20:00:00,52,52,67,0.4,,,,30.0,8.3,2.0,1004.4,2025-08-25T22:28:39Z,2025-08-26 03:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 04:00:00,53,53,45,6.7,12.7,,0.1,27.6,77.9,2.5,1003.9,2025-08-25T22:28:40Z,2025-08-26 11:00:00+07:00
5773,Bangkok,2025-08-26 05:00:00,43,43,17,3.6,1.2,0.6,0.1,28.0,98.2,2,1004.8,2025-08-25T23:26:21Z,2025-08-26 12:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 05:00:00,53,53,17,4.8,,1.6,0.1,26.8,9.8,2,1003.0,2025-08-25T23:26:22Z,2025-08-26 12:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 05:00:00,53,53,17,13.4,9.3,0.6,0.1,27.5,10.0,1,1003.9,2025-08-25T23:26:23Z,2025-08-26 12:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-25 20:00:00,52,52,67,0.4,,,,30.0,8.3,2,1004.4,2025-08-25T23:26:24Z,2025-08-26 03:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 06:00:00,53,53,45,4.8,12.7,,0.1,27.7,9.5,1,1005.1,2025-08-25T23:26:24Z,2025-08-26 13:00:00+07:00
5773,Bangkok,2025-08-26 08:00:00,29,29,14,2.4,1.2,0.6,0.1,27.5,98.2,1.0,1005.9,2025-08-26T02:06:06Z,2025-08-26 15:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 08:00:00,57,57,19,4.4,,2.2,0.1,27.0,93.7,1.0,1003.6,2025-08-26T02:06:07Z,2025-08-26 15:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 08:00:00,38,38,14,10.3,8.1,0.6,0.1,27.5,73.3,1.5,1005.9,2025-08-26T02:06:07Z,2025-08-26 15:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 08:00:00,56,56,67,0.4,,,,28.7,9.2,1.0,1006.7,2025-08-26T02:06:08Z,2025-08-26 15:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 08:00:00,52,52,45,6.7,12.7,,0.1,28.7,9.2,1.0,1006.7,2025-08-26T02:06:09Z,2025-08-26 15:00:00+07:00
5773,Bangkok,2025-08-26 09:00:00,34,34,14,2.4,1.2,0.6,0.1,28.7,98.2,1,1006.7,2025-08-26T03:46:32Z,2025-08-26 16:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 10:00:00,47,47,22,6.4,,2.2,0.1,29.5,9.1,3,1006.4,2025-08-26T03:46:33Z,2025-08-26 17:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 10:00:00,52,52,17,10.3,8.1,0.6,0.1,29.7,9.1,2,1006.5,2025-08-26T03:46:33Z,2025-08-26 17:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 09:00:00,57,57,67,0.4,,,,29.6,8.7,1,1007.8,2025-08-26T03:46:34Z,2025-08-26 16:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 10:00:00,52,52,45,6.7,12.7,,0.1,29.6,8.7,1,1007.8,2025-08-26T03:46:35Z,2025-08-26 17:00:00+07:00
5773,Bangkok,2025-08-26 11:00:00,52,52,17,5.6,1.2,0.6,0.1,30.2,80.0,1.5,1007.9,2025-08-26T04:32:59Z,2025-08-26 18:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 11:00:00,57,57,22,9.1,,2.2,0.1,31.7,8.6,2.0,1006.5,2025-08-26T04:32:59Z,2025-08-26 18:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 11:00:00,52,52,17,13.4,9.3,0.6,0.1,29.0,80.0,3.0,1007.9,2025-08-26T04:33:00Z,2025-08-26 18:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 09:00:00,57,57,67,0.4,,,,29.6,8.7,1.0,1007.8,2025-08-26T04:33:01Z,2025-08-26 16:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 11:00:00,58,58,45,4.8,12.7,,0.1,30.2,71.6,1.5,1007.3,2025-08-26T04:33:02Z,2025-08-26 18:00:00+07:00
5773,Bangkok,2025-08-26 11:00:00,52,52,17,5.6,1.2,0.6,0.1,30.2,80.0,1.5,1007.9,2025-08-26T05:30:14Z,2025-08-26 18:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 12:00:00,51,51,33,11.5,,2.2,0.1,31.7,8.6,2.0,1006.5,2025-08-26T05:30:15Z,2025-08-26 19:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 12:00:00,36,36,17,13.4,9.3,0.6,0.1,31.0,8.9,3.0,1007.2,2025-08-26T05:30:16Z,2025-08-26 19:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 11:00:00,54,54,67,0.4,,,,31.0,8.5,3.0,1008.1,2025-08-26T05:30:16Z,2025-08-26 18:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 12:00:00,21,21,45,4.8,12.7,,0.1,31.0,8.5,3.0,1008.1,2025-08-26T05:30:17Z,2025-08-26 19:00:00+07:00
5773,Bangkok,2025-08-26 12:00:00,36,36,17,8.7,0.6,0.6,0.1,32.4,8.9,1.0,1007.6,2025-08-26T06:42:15Z,2025-08-26 19:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 13:00:00,59,59,25,11.5,,2.2,0.1,32.5,62.4,1.5,1006.1,2025-08-26T06:42:16Z,2025-08-26 20:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 13:00:00,31,31,14,13.4,9.3,0.6,0.1,31.3,61.1,1.5,1007.3,2025-08-26T06:42:17Z,2025-08-26 20:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 12:00:00,47,47,67,0.4,,,,32.4,8.1,1.0,1007.6,2025-08-26T06:42:17Z,2025-08-26 19:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 13:00:00,25,25,45,4.8,12.7,,0.1,32.4,8.1,1.0,1007.6,2025-08-26T06:42:18Z,2025-08-26 20:00:00+07:00
5773,Bangkok,2025-08-26 14:00:00,38,38,7,4.4,0.6,0.6,0.1,32.3,61.1,2.0,1007.3,2025-08-26T07:27:49Z,2025-08-26 21:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 14:00:00,59,59,21,11.5,,2.2,0.1,32.5,62.4,1.5,1006.1,2025-08-26T07:27:50Z,2025-08-26 21:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 14:00:00,45,45,12,13.4,9.3,0.6,0.1,31.3,61.1,1.5,1007.3,2025-08-26T07:27:51Z,2025-08-26 21:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 12:00:00,47,47,67,0.4,,,,32.4,8.1,1.0,1007.6,2025-08-26T07:27:52Z,2025-08-26 19:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 14:00:00,27,27,45,4.8,12.7,,0.1,31.6,60.0,2.5,1006.4,2025-08-26T07:27:53Z,2025-08-26 21:00:00+07:00
5773,Bangkok,2025-08-26 15:00:00,27,27,16,4.4,0.6,0.6,0.1,32.3,61.1,2.0,1007.3,2025-08-26T08:37:22Z,2025-08-26 22:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 15:00:00,61,61,33,13.8,,2.2,0.1,32.5,62.4,1.5,1006.1,2025-08-26T08:37:23Z,2025-08-26 22:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 15:00:00,56,56,16,13.4,9.3,0.6,0.1,31.3,61.1,1.5,1007.3,2025-08-26T08:37:24Z,2025-08-26 22:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 14:00:00,47,47,67,0.4,,,,32.3,8.1,2.0,1006.2,2025-08-26T08:37:25Z,2025-08-26 21:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 15:00:00,23,23,45,4.8,12.7,,0.1,32.3,8.1,2.0,1006.2,2025-08-26T08:37:26Z,2025-08-26 22:00:00+07:00
5773,Bangkok,2025-08-26 16:00:00,23,23,20,4.4,0.6,0.6,0.1,31.0,8.9,2.5,1005.7,2025-08-26T09:31:26Z,2025-08-26 23:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 16:00:00,57,57,35,10.7,,2.2,0.1,27.0,83.0,6.1,1006.0,2025-08-26T09:31:27Z,2025-08-26 23:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 16:00:00,62,62,20,13.4,9.3,0.6,0.1,31.2,8.6,2.5,1004.7,2025-08-26T09:31:28Z,2025-08-26 23:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 15:00:00,46,46,67,0.4,,,,31.0,8.5,2.5,1005.7,2025-08-26T09:31:29Z,2025-08-26 22:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 16:00:00,23,23,45,4.8,12.7,,0.1,31.0,8.5,2.5,1005.7,2025-08-26T09:31:30Z,2025-08-26 23:00:00+07:00
5773,Bangkok,2025-08-26 16:00:00,23,23,20,4.4,0.6,0.6,0.1,31.0,8.9,2.5,1005.7,2025-08-26T10:32:37Z,2025-08-26 23:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 17:00:00,57,57,24,6.7,,1.6,0.1,26.0,83.0,4.1,1005.0,2025-08-26T10:32:38Z,2025-08-27 00:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 17:00:00,59,59,23,13.4,9.3,0.6,0.1,28.5,79.0,3.0,1006.1,2025-08-26T10:32:39Z,2025-08-27 00:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 17:00:00,51,51,67,0.4,,,,25.4,86.8,0.5,1005.6,2025-08-26T10:32:39Z,2025-08-27 00:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 17:00:00,51,51,45,4.8,12.7,,0.1,25.4,86.8,0.5,1005.6,2025-08-26T10:32:40Z,2025-08-27 00:00:00+07:00
5773,Bangkok,2025-08-26 17:00:00,48,48,23,4.4,0.6,0.6,0.1,28.5,86.8,1.5,1006.1,2025-08-26T11:24:31Z,2025-08-27 00:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 18:00:00,47,47,16,5.6,,1.6,0.1,27.0,83.0,3.0,1006.0,2025-08-26T11:24:32Z,2025-08-27 01:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 18:00:00,20,20,16,13.4,9.3,0.6,0.1,24.2,10.7,3.0,1004.5,2025-08-26T11:24:33Z,2025-08-27 01:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 17:00:00,51,51,67,0.4,,,,25.4,86.8,0.5,1005.6,2025-08-26T11:24:34Z,2025-08-27 00:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 18:00:00,47,47,45,4.8,12.7,,0.1,26.0,86.8,1.0,1006.4,2025-08-26T11:24:35Z,2025-08-27 01:00:00+07:00
5773,Bangkok,2025-08-26 19:00:00,36,36,16,2.0,0.6,0.6,0.1,26.2,10.4,1.0,1006.4,2025-08-26T12:58:58Z,2025-08-27 02:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 19:00:00,59,59,19,4.4,,1.6,0.1,26.5,85.5,2.8,1006.5,2025-08-26T12:58:58Z,2025-08-27 02:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 19:00:00,16,16,11,13.4,9.3,0.6,0.1,24.7,10.4,1.0,1005.7,2025-08-26T12:58:59Z,2025-08-27 02:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 18:00:00,48,48,67,0.4,,,,26.0,86.8,1.0,1006.4,2025-08-26T12:59:00Z,2025-08-27 01:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 19:00:00,37,37,45,4.8,12.7,,0.1,26.0,86.8,1.0,1006.4,2025-08-26T12:59:01Z,2025-08-27 02:00:00+07:00
5773,Bangkok,2025-08-26 20:00:00,60,60,16,2.0,0.6,0.6,0.1,26.2,10.4,1.0,1006.4,2025-08-26T13:39:53Z,2025-08-27 03:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 20:00:00,59,59,18,3.2,,1.6,0.1,27.0,78.0,5.6,1008.0,2025-08-26T13:39:54Z,2025-08-27 03:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 20:00:00,15,15,10,13.4,9.3,0.6,0.1,24.7,10.4,1.0,1005.7,2025-08-26T13:39:54Z,2025-08-27 03:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 18:00:00,48,48,67,0.4,,,,26.0,86.8,1.0,1006.4,2025-08-26T13:39:55Z,2025-08-27 01:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 20:00:00,60,60,45,4.8,12.7,,0.1,26.0,86.8,1.0,1006.4,2025-08-26T13:39:56Z,2025-08-27 03:00:00+07:00
5773,Bangkok,2025-08-26 20:00:00,60,60,16,2.0,0.6,0.6,0.1,26.2,10.4,1.0,1006.4,2025-08-26T14:29:05Z,2025-08-27 03:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 21:00:00,65,65,29,3.6,,1.6,0.1,27.0,78.0,5.6,1008.0,2025-08-26T14:29:06Z,2025-08-27 04:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 21:00:00,16,16,9,10.3,8.1,0.6,0.1,26.0,9.9,1.0,1007.2,2025-08-26T14:29:06Z,2025-08-27 04:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 18:00:00,48,48,67,0.4,,,,26.0,86.8,1.0,1006.4,2025-08-26T14:29:07Z,2025-08-27 01:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 21:00:00,52,52,45,6.7,12.7,,0.1,25.9,86.8,1.0,1008.1,2025-08-26T14:29:07Z,2025-08-27 04:00:00+07:00
5773,Bangkok,2025-08-26 22:00:00,26,26,13,2.0,0.6,0.6,0.1,26.1,9.8,0.5,1008.7,2025-08-26T15:29:20Z,2025-08-27 05:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 21:00:00,65,65,29,3.6,,1.6,0.1,27.0,78.0,5.6,1008.0,2025-08-26T15:29:21Z,2025-08-27 04:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 22:00:00,26,26,11,10.3,8.1,0.6,0.1,26.1,9.8,2.0,1007.7,2025-08-26T15:29:22Z,2025-08-27 05:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 18:00:00,48,48,67,0.4,,,,26.0,86.8,1.0,1006.4,2025-08-26T15:29:23Z,2025-08-27 01:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 22:00:00,61,61,45,6.7,12.7,,0.1,25.7,86.8,0.5,1008.7,2025-08-26T15:29:23Z,2025-08-27 05:00:00+07:00
5773,Bangkok,2025-08-26 23:00:00,62,62,27,2.0,0.6,0.6,0.1,26.5,92.6,2.0,1009.2,2025-08-26T16:33:55Z,2025-08-27 06:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 23:00:00,61,61,24,4.0,,1.6,0.1,26.0,88.0,2.5,1010.0,2025-08-26T16:33:56Z,2025-08-27 06:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 23:00:00,62,62,27,10.3,8.1,0.6,0.1,26.5,90.4,0.5,1009.2,2025-08-26T16:33:57Z,2025-08-27 06:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 18:00:00,48,48,67,0.4,,,,26.0,86.8,1.0,1006.4,2025-08-26T16:33:58Z,2025-08-27 01:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 23:00:00,58,58,45,6.7,12.7,,0.1,25.9,92.6,2.0,1007.4,2025-08-26T16:33:59Z,2025-08-27 06:00:00+07:00
5773,Bangkok,2025-08-26 23:00:00,62,62,27,2.0,0.6,0.6,0.1,26.5,92.6,2.0,1009.2,2025-08-26T17:26:09Z,2025-08-27 06:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-26 23:00:00,61,61,24,4.0,,1.6,0.1,26.0,88.0,2.5,1010.0,2025-08-26T17:26:10Z,2025-08-27 06:00:00+07:00
1840,"South Bangkok Power Plant, Samut Prakan, Thailand (โรงไฟฟ้าพระนครใต้)",2025-08-26 23:00:00,62,62,27,10.3,8.1,0.6,0.1,26.5,90.4,0.5,1009.2,2025-08-26T17:26:10Z,2025-08-27 06:00:00+07:00
1833,"Ratburana Post Office, Bangkok, Thailand (ไปรษณีย์ราษฏร์บูรณะ)",2025-08-26 18:00:00,48,48,67,0.4,,,,26.0,86.8,1.0,1006.4,2025-08-26T17:26:11Z,2025-08-27 01:00:00+07:00
1860,"Chokchai Police Station, Bangkok, Thailand (สถานีตำรวจนครบาลโชคชัย)",2025-08-26 23:00:00,58,58,45,6.7,12.7,,0.1,25.9,92.6,2.0,1007.4,2025-08-26T17:26:11Z,2025-08-27 06:00:00+07:00
5773,Bangkok,2025-08-27 01:00:00,63,63,25,2.0,0.6,0.6,0.1,26.0,9.9,1,1008.8,2025-08-26T18:37:41Z,2025-08-27 08:00:00+07:00
4693,"Bangkok University Rangsit Campus, Pathum Thani, Thailand (มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต)",2025-08-27 01:00:00,65,65,20,3.2,,1.6,0.1,27.0,83.0,2,1008.0,2025-08-26T18:37:42Z,2025-08-27 08:00:00+07:00
